filename,area,perimeter,num_contours
resta_20250623_140735.tif,577.4991073341807,141.4383843815626,5
resta_20250623_140758.tif,759.9991149634589,143.33800879724427,2
resta_20250623_140822.tif,923.998916593031,163.53906208371097,1
resta_20250623_140837.tif,1040.498893704149,171.09541126981503,1
resta_20250623_140852.tif,1252.9988250375027,185.48018758066524,1
resta_20250623_140908.tif,1373.9987640004838,193.48018758066524,1
resta_20250623_140922.tif,1729.998290963762,265.76437882933743,3
resta_20250623_140938.tif,1818.998306222842,260.9361180227609,3
resta_20250623_140952.tif,1814.49835963035,254.35033158513403,3
resta_20250623_141129.tif,2014.4981307414128,286.00709951524647,1
resta_20250623_141146.tif,2442.4979171118466,322.2913707627083,1
resta_20250623_141159.tif,2697.997726371221,357.98977557375366,3
resta_20250623_141214.tif,2909.4977034826297,353.46294363796216,3
resta_20250623_141227.tif,3176.9977263713954,367.16142844779716,3
resta_20250623_141250.tif,3673.497291482752,420.8599132576322,3
resta_20250623_141310.tif,3908.497093112441,454.3156710609678,3
resta_20250623_141330.tif,4372.99745170516,462.9018027761147,7
resta_20250623_141345.tif,4523.497184668087,481.77164466275354,6
resta_20250623_141359.tif,4588.497032075655,510.88429987527167,5
resta_20250623_141413.tif,4852.9967192608165,546.2985565973347,6
resta_20250623_141429.tif,5454.4966353349155,580.8843430349617,8
resta_20250623_141444.tif,5960.496208075318,634.825468531916,4
resta_20250623_141500.tif,6576.996292002033,682.5239965014409,7
resta_20250623_141517.tif,6759.496116520371,711.1098692584478,7
resta_20250623_141548.tif,7168.9960325942375,706.8670559325687,5
resta_20250623_141602.tif,7372.996368298656,739.9800564226068,12
resta_20250623_141618.tif,8012.9965819282515,735.9801427419867,12
resta_20250623_141645.tif,8171.496162298834,730.9091180898113,13
